epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.283,0.60509,1.8872,1.10432,0.2045,0.22403,0.1638,0.13161,0.8106,2.59094,1.18812,0.000128035,0.000128035,0.000128035
2,297.57,0.56797,1.19963,1.06453,0.18546,0.25202,0.16039,0.12359,0.92949,2.58951,1.27826,0.000252984,0.000252984,0.000252984
3,442.556,0.58366,1.12029,1.06373,0.23721,0.23778,0.1856,0.13741,0.98337,2.52131,1.321,0.000374545,0.000374545,0.000374545
4,587.608,0.54373,1.00696,1.04623,0.241,0.27655,0.21778,0.16637,0.91648,2.35469,1.26723,0.000369754,0.000369754,0.000369754
5,731.974,0.49655,0.91967,1.01976,0.2415,0.29608,0.22235,0.17536,0.88244,2.51297,1.24228,0.000364672,0.000364672,0.000364672
6,876.265,0.46951,0.85097,1.00574,0.27294,0.31598,0.26213,0.20868,0.85305,2.2754,1.21913,0.00035959,0.00035959,0.00035959
7,1020.55,0.44379,0.79388,0.99138,0.29079,0.32746,0.28516,0.22897,0.82858,2.17613,1.21178,0.000354508,0.000354508,0.000354508
8,1164.84,0.4241,0.76063,0.98483,0.33629,0.36665,0.31267,0.25178,0.80449,1.98129,1.18026,0.000349426,0.000349426,0.000349426
9,1309.1,0.40473,0.72001,0.9746,0.34959,0.36166,0.32497,0.26582,0.80325,1.99541,1.17479,0.000344344,0.000344344,0.000344344
10,1453.32,0.3956,0.6923,0.9669,0.38672,0.34756,0.3294,0.26807,0.77744,1.91209,1.15732,0.000339262,0.000339262,0.000339262
11,1597.69,0.37548,0.66163,0.96,0.38485,0.37126,0.353,0.28658,0.76375,1.88641,1.13315,0.00033418,0.00033418,0.00033418
12,1742.16,0.36869,0.64902,0.95744,0.46173,0.36955,0.37226,0.30379,0.76053,1.82932,1.14551,0.000329098,0.000329098,0.000329098
13,1886.5,0.35141,0.61955,0.9475,0.40544,0.38734,0.37588,0.29949,0.7844,1.85658,1.18195,0.000324016,0.000324016,0.000324016
14,2030.43,0.34692,0.60003,0.94713,0.49923,0.36278,0.40605,0.33536,0.73164,1.72061,1.13001,0.000318934,0.000318934,0.000318934
15,2175.06,0.33828,0.58484,0.94323,0.43705,0.41663,0.41203,0.34437,0.7161,1.7149,1.10532,0.000313852,0.000313852,0.000313852
16,2319.49,0.33925,0.58051,0.94507,0.46654,0.47392,0.45907,0.37793,0.72053,1.5626,1.10782,0.00030877,0.00030877,0.00030877
17,2464.91,0.32667,0.56219,0.93722,0.51798,0.43645,0.4683,0.38324,0.72563,1.56409,1.12232,0.000303688,0.000303688,0.000303688
18,2609.53,0.31924,0.53815,0.93413,0.54403,0.44843,0.47713,0.39595,0.70298,1.54582,1.09863,0.000298606,0.000298606,0.000298606
19,2753.95,0.30946,0.53142,0.93144,0.53507,0.45708,0.49272,0.40846,0.72204,1.52236,1.13004,0.000293524,0.000293524,0.000293524
20,2898.36,0.3113,0.52339,0.92998,0.51625,0.47191,0.5004,0.42289,0.68063,1.44504,1.09484,0.000288442,0.000288442,0.000288442
21,3042.73,0.3001,0.50256,0.9254,0.5836,0.47049,0.51906,0.4359,0.67265,1.41052,1.09652,0.00028336,0.00028336,0.00028336
22,3187.12,0.29707,0.49732,0.92404,0.52779,0.51215,0.53332,0.44582,0.68391,1.39166,1.09322,0.000278278,0.000278278,0.000278278
23,3331.39,0.28582,0.48294,0.92095,0.57687,0.50243,0.53442,0.45172,0.64666,1.37616,1.06174,0.000273196,0.000273196,0.000273196
24,3475.62,0.28522,0.4706,0.91848,0.56391,0.52659,0.54783,0.46045,0.64632,1.36132,1.07792,0.000268114,0.000268114,0.000268114
25,3621.43,0.2797,0.47207,0.91586,0.62693,0.49496,0.55928,0.47196,0.64685,1.35196,1.06067,0.000263032,0.000263032,0.000263032
26,3765.66,0.27518,0.45748,0.9144,0.60484,0.5299,0.56549,0.47902,0.65447,1.28989,1.07854,0.00025795,0.00025795,0.00025795
27,3909.97,0.27699,0.45597,0.91693,0.61934,0.52289,0.57673,0.48925,0.65999,1.27482,1.08668,0.000252868,0.000252868,0.000252868
28,4054.29,0.2727,0.4434,0.91299,0.62617,0.51499,0.5652,0.48082,0.64608,1.30371,1.06137,0.000247786,0.000247786,0.000247786
29,4198.2,0.27199,0.43957,0.9146,0.64013,0.56188,0.60194,0.5099,0.63526,1.2034,1.05091,0.000242704,0.000242704,0.000242704
30,4342.44,0.2667,0.42481,0.91015,0.65179,0.5344,0.60122,0.51315,0.62685,1.22784,1.05283,0.000237622,0.000237622,0.000237622
31,4486.85,0.26033,0.41443,0.90801,0.63901,0.55624,0.60587,0.51453,0.62614,1.21268,1.04813,0.00023254,0.00023254,0.00023254
32,4631.02,0.26039,0.40694,0.90702,0.61803,0.56148,0.60649,0.52234,0.60615,1.17594,1.04421,0.000227458,0.000227458,0.000227458
33,4775.32,0.25253,0.39469,0.90515,0.66652,0.56486,0.62688,0.53743,0.60897,1.18009,1.04085,0.000222376,0.000222376,0.000222376
34,4919.48,0.25111,0.39382,0.90476,0.64761,0.56681,0.62248,0.53396,0.60031,1.13899,1.03527,0.000217294,0.000217294,0.000217294
35,5063.46,0.24828,0.38058,0.90287,0.67177,0.59363,0.64588,0.55528,0.60081,1.10032,1.03446,0.000212212,0.000212212,0.000212212
36,5207.81,0.25183,0.38718,0.90678,0.66929,0.57972,0.64221,0.54863,0.60344,1.12259,1.0371,0.00020713,0.00020713,0.00020713
37,5351.79,0.24412,0.37464,0.89858,0.7302,0.59908,0.67232,0.57887,0.58238,1.06332,1.02231,0.000202048,0.000202048,0.000202048
38,5496.28,0.24226,0.37304,0.90067,0.6915,0.60629,0.6623,0.56966,0.59727,1.07443,1.03275,0.000196966,0.000196966,0.000196966
