epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8867,0.87463,1.10324,1.32386,0.80934,0.84306,0.87901,0.40447,1.49036,1.16566,2.40359,0.00066358,0.00066358,0.00066358
2,84.6943,0.90714,0.76906,1.32906,0.90326,0.92989,0.95885,0.65773,0.96373,0.80799,1.56849,0.00128635,0.00128635,0.00128635
3,125.033,0.93676,0.73208,1.34212,0.85987,0.87726,0.93365,0.55366,1.21698,0.84345,1.75678,0.00186512,0.00186512,0.00186512
4,165.04,0.84567,0.66702,1.27949,0.94857,0.9507,0.98193,0.6853,0.97693,0.69697,1.49834,0.001802,0.001802,0.001802
5,205.379,0.80882,0.59816,1.24248,0.92507,0.94391,0.9767,0.74664,0.80248,0.75282,1.37572,0.001736,0.001736,0.001736
6,245.518,0.75565,0.55074,1.2138,0.9068,0.9326,0.9626,0.69422,0.90371,0.68849,1.39866,0.00167,0.00167,0.00167
7,285.431,0.71804,0.51746,1.1878,0.93035,0.95411,0.97728,0.75297,0.80055,0.59306,1.31755,0.001604,0.001604,0.001604
8,325.5,0.68725,0.48381,1.16712,0.92356,0.94814,0.97723,0.68406,1.06902,0.64758,1.55404,0.001538,0.001538,0.001538
9,365.451,0.67096,0.46467,1.15728,0.95144,0.96589,0.98397,0.78903,0.68241,0.49943,1.22579,0.001472,0.001472,0.001472
10,405.629,0.65176,0.45354,1.14835,0.93782,0.97107,0.98162,0.80597,0.68398,0.49843,1.22124,0.001406,0.001406,0.001406
11,445.88,0.62121,0.42808,1.12111,0.95606,0.95875,0.98735,0.81174,0.66052,0.51069,1.21268,0.00134,0.00134,0.00134
12,486.069,0.61086,0.41882,1.11464,0.95064,0.96888,0.98707,0.82247,0.62603,0.44682,1.16967,0.001274,0.001274,0.001274
13,526.117,0.58518,0.40315,1.1025,0.94775,0.97082,0.98017,0.7645,0.79497,0.51325,1.27952,0.001208,0.001208,0.001208
14,566.083,0.57373,0.398,1.09085,0.97958,0.97586,0.98932,0.86068,0.55715,0.4147,1.10504,0.001142,0.001142,0.001142
15,606.192,0.55478,0.38603,1.08807,0.97689,0.97807,0.99008,0.86508,0.57551,0.41084,1.11798,0.001076,0.001076,0.001076
16,646.25,0.53852,0.36674,1.07415,0.97588,0.97691,0.99233,0.8515,0.58506,0.41393,1.12373,0.00101,0.00101,0.00101
17,686.276,0.53562,0.36505,1.07271,0.88186,0.94668,0.96019,0.78659,0.68142,0.53928,1.20337,0.000944,0.000944,0.000944
18,726.232,0.5149,0.35272,1.06491,0.97798,0.9839,0.99161,0.87394,0.52482,0.36974,1.08453,0.000878,0.000878,0.000878
19,766.316,0.50993,0.35337,1.05498,0.96834,0.97183,0.98564,0.8702,0.54595,0.39561,1.08748,0.000812,0.000812,0.000812
20,806.378,0.48489,0.33078,1.04709,0.97015,0.98189,0.98962,0.88086,0.54675,0.38573,1.10772,0.000746,0.000746,0.000746
21,847.926,0.64381,0.38832,1.14665,0.97525,0.98089,0.99164,0.90117,0.45943,0.32217,1.01777,0.00068,0.00068,0.00068
22,887.829,0.59661,0.35481,1.10428,0.97985,0.97858,0.99122,0.9268,0.40849,0.29651,0.95803,0.000614,0.000614,0.000614
23,927.815,0.57449,0.33701,1.09224,0.98668,0.98491,0.9933,0.93552,0.40211,0.26633,0.94987,0.000548,0.000548,0.000548
24,967.848,0.54575,0.31782,1.0695,0.9919,0.98587,0.99367,0.94096,0.38049,0.24759,0.94103,0.000482,0.000482,0.000482
25,1007.64,0.52917,0.29903,1.05579,0.98882,0.99095,0.99414,0.94317,0.37596,0.24962,0.93104,0.000416,0.000416,0.000416
26,1047.49,0.5161,0.28203,1.04684,0.9907,0.98893,0.99435,0.94993,0.3621,0.23252,0.91925,0.00035,0.00035,0.00035
27,1087.5,0.49764,0.27243,1.03204,0.98888,0.98368,0.99425,0.95049,0.36277,0.23809,0.91885,0.000284,0.000284,0.000284
28,1127.48,0.48289,0.26257,1.02796,0.98174,0.99396,0.994,0.95565,0.33254,0.22734,0.89456,0.000218,0.000218,0.000218
29,1167.3,0.47213,0.2563,1.01587,0.98832,0.98893,0.99441,0.95668,0.33133,0.21487,0.89243,0.000152,0.000152,0.000152
30,1207.31,0.45978,0.24762,1.00897,0.98793,0.98837,0.99431,0.95713,0.32869,0.20681,0.88806,8.6e-05,8.6e-05,8.6e-05
