epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3384,1.1977,1.10821,1.09785,0.83571,0.77083,0.79405,0.50894,1.42104,1.03274,1.30778,0.000664717,0.000664717,0.000664717
2,196.662,1.1382,0.71446,1.10929,0.82848,0.72576,0.79168,0.44638,1.66405,1.21503,1.39287,0.00124351,0.00124351,0.00124351
3,293.867,1.07962,0.66269,1.08668,0.83869,0.80417,0.82565,0.53995,1.38603,1.07904,1.31042,0.00173431,0.00173431,0.00173431
4,391.083,0.97855,0.5882,1.04193,0.8533,0.77778,0.83946,0.52289,1.45228,0.99927,1.29597,0.001604,0.001604,0.001604
5,488.034,0.92003,0.55119,1.02379,0.89301,0.80625,0.8657,0.59198,1.27051,0.91484,1.23505,0.001472,0.001472,0.001472
6,586.842,1.22259,0.6403,1.0776,0.89729,0.7997,0.85481,0.57415,1.27831,1.06074,1.23888,0.00134,0.00134,0.00134
7,683.652,1.18468,0.60106,1.04988,0.91702,0.81755,0.86135,0.62676,1.14968,0.9651,1.22654,0.001208,0.001208,0.001208
8,780.504,1.13484,0.56559,1.02977,0.93989,0.84091,0.89227,0.65666,1.09756,0.81297,1.18354,0.001076,0.001076,0.001076
9,877.385,1.09931,0.54851,1.01716,0.91126,0.85922,0.88995,0.66144,1.0813,0.77111,1.19145,0.000944,0.000944,0.000944
10,974.37,1.06703,0.51413,1.00593,0.94398,0.85985,0.9146,0.68009,1.03114,0.70373,1.16378,0.000812,0.000812,0.000812
11,1071.35,1.03973,0.48773,0.99714,0.95421,0.85164,0.91434,0.67975,1.06127,0.76186,1.19009,0.00068,0.00068,0.00068
12,1167.99,1.00008,0.4695,0.9769,0.95234,0.86806,0.92935,0.72505,0.92494,0.62137,1.12216,0.000548,0.000548,0.000548
13,1264.76,0.98385,0.45241,0.97391,0.94877,0.8535,0.91296,0.71639,0.93997,0.73464,1.13812,0.000416,0.000416,0.000416
14,1361.41,0.94607,0.4298,0.96229,0.93612,0.87888,0.92401,0.71132,0.9509,0.62974,1.11503,0.000284,0.000284,0.000284
15,1458.3,0.92106,0.41033,0.95144,0.9521,0.86806,0.92783,0.73774,0.89923,0.60651,1.10338,0.000152,0.000152,0.000152
